title,url,publish_date,has_keyword,matched_keywords,fulltext,page_number,greenhouse gas,ghg,net-zero,carbon neutral,carbon neutrality,carbon emissions,climate change,carbon trading,carbon pricing,low-carbon,clean energy,greenhouse,carbon,environment,emission,environmental,emissions,sustainability
State Council approves Xiangtan’s city plan,https://english.www.gov.cn/policies/latestreleases/201708/25/content_WS5d1c1e04c6d03ce678798945.html,N/A,True,"emission, emissions","
State Council approves Xiangtan’s city plan 
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			State Council approves Xiangtan’s city plan 





Updated:
Aug 25,2017 5:05 PM
	    english.gov.cn










The State Council has approved the overall urban planning (2010-2020) for Xiangtan in Central China’s Hunan province.Xiangtan is a central city in the Changsha-Zhuzhou-Xiangtan city cluster, which is also an important industrial, technological and tourism city. According to the plan, coordinated urban and rural development was urged in the designated area of 1,069 square kilometers, with infrastructure and public services available to surrounding villages. In addition, extra attention should be paid to planning counties and major towns under its jurisdiction.By 2020, the downtown population will be limited to 1.1 million, and an area of 110 square kilometers will be used for urban construction. In addition, no new district or development zones should be established outside the approved area.Newly added construction land should be strictly controlled, and underground space should be explored and utilized. Efforts should also be made to improve the land usage rate and protect basic farmland. The State Council also urged the Xiangtan government to improve urban infrastructure, establishing a comprehensive transportation system and promoting the construction of urban parking lots. Other city infrastructure, such as water supply and waste disposal system, should be developed under a coordinated plan. Disaster prevention and reduction work should also be reinforced, the plan said. The local government is urged to strictly control emissions of pollutants, improve the use efficiency of water resources, promote the construction of a “sponge city” and enhance the protection of scenic spots and special ecological function areas. The State Council also called for better public services concerning education, medical care and municipal administration, and the construction of subsidized apartments should be included in the city’s development plan. Efforts should also be made to protect historic culture and natural reserves. 







RELATED STORIES



Fast-track growth in Central China


Zhuzhou’s city plan approved


Maglev train to go into service in China’s Hunan 









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
China to further promote information consumption,https://english.www.gov.cn/policies/latestreleases/201708/24/content_WS5d16ab11c6d03ce67879210f.html,N/A,True,"environment, environmental","
China to further promote information consumption
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			China to further promote information consumption






Updated:
Aug 24,2017 7:14 PM
	    english.gov.cn












The State Council on Aug 24 issued a circular to promote and upgrade information consumption, aimed at further unleashing the potential of domestic demand.
According to the circular, by 2020, the scale of information consumption is expected to expand to 6 trillion yuan ($901 billion), an average annual growth of over 11 percent. And the growth of the sector will drive the output of 1.5 trillion yuan from related industries.
The key fields and categories involved in the circular include those closely related to people’s daily life, public services, industrial information, and new information products.
To achieve the goal by 2020, related departments and industries were encouraged to enhance the supply and quality of information products and services, expand consumption coverage and optimize the development environment. 
According to the guideline, intelligent digital products for families should be promoted. Meanwhile, Internet of Things, big data, cloud computing, and artificial intelligence should be used to upgrade digital products and their application in public transportation, energy, and environmental protection.
Innovative digital content and services, and online education and medical care are also important sectors to drive up consumption.
The development of e-commerce platform in rural areas should also be emphasized, the circular said. 
In terms of expanding consumption coverage, related departments and industries should attach great importance to upgrading infrastructure construction in rural and remote regions, lowering costs, and enhancing customers’ experiences.
Meanwhile, they were also required to provide assistance for those not familiar with information products, such as online payment and related risks.
And a series of regulations should be reinforced to strengthen supervision, credibility checks and protection of intellectual property rights, and safeguard users’ information safety.
In addition, 42 specific tasks led by departments of the State Council, including the National Development and Reform Commission, Ministry of Agriculture, Ministry of Culture and Ministry of Education, were listed.









RELATED STORIES



Roaming fees to be scrapped thanks to Premier’s continuous efforts


Better internet service pays back









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",91,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
State Council approves city plan for Fushun,https://english.www.gov.cn/policies/latestreleases/201709/18/content_WS5d16ab96c6d03ce6787922ab.html,N/A,True,"environment, emission, environmental, emissions","
State Council approves city plan for Fushun
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			State Council approves city plan for Fushun






Updated:
Sep 18,2017 5:00 PM
	    english.gov.cn












The State Council has approved the overall urban plan (2011-2020) of Fushun, a city in Northeast China’s Liaoning province.
Fushun is an important industrial base in Liaoning province and the subcenter of the Shenyang economic area.
According to the plan released on Sept 18, urban and rural areas in the city should be managed in a coordinated way. The public utilities and infrastructure in urban areas should provide service to surrounding villages. 
Till 2020, land for construction in Fushun should be limited to 172.5 square kilometers, with the downtown population set at less than 1.5 million. No economic development zones or new areas are allowed to be built outside the planned construction area. Land should be saved and developed in an efficient way. Farmland should be protected.
The plan urges improving the city’s infrastructure. More highways, railways, parking lots should be built. Underground infrastructure should be improved with the construction of a upgraded water supply, drainage facilities and utility tunnel. The subsidence area due to coal mining should be treated.
The State Council plans to build an energy-saving and environmentally-friendly city out of Fushun, cutting backward capacity, controlling pollutant emissions and promoting bio-safely disposal of waste. The plan also advocates the efficient use of water, developing green architecture, and protecting nature reserves, wetlands and water sources.
People’s living condition should be improved by providing more quality public services on education, healthcare and civil affairs. Construction of low-cost housing should be ensured. Shanty towns, urban villages and dangerous buildings should be renovated and improved.
The city’s historic sites should be protected, especially factory relics and the city’s traditional landscape and structure. 





RELATED STORIES



Beijing-Shenyang high-speed railway under construction


State Council OKs Anshan’s city plan


Shenyang’s city plan approved









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
China to strengthen efforts to crack down on unlicensed business operations,https://english.www.gov.cn/policies/latestreleases/201708/23/content_WS5d16ab0cc6d03ce6787920fe.html,N/A,True,environment,"
China to strengthen efforts to crack down on unlicensed business operations
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			China to strengthen efforts to regulate unlicensed business operations






Updated:
Aug 23,2017 7:35 PM
	    english.gov.cn












The State Council has adopted regulations on investigating and punishing unlicensed business operations, according to a circular issued on Aug 23.
The rules, which will take effect on Oct 1, are aimed at safeguarding the market order and economic stability, promoting fair competition and protecting the legal rights of business owners and customers.
According to the regulations, no entity or individual should engage in illegal business operations in violation of laws, administrative regulations or the State Council’s decisions.
Local governments above county level should take on the responsibility to supervise and ensure related departments’ efficient implementation of these regulations in investigating and punishing unlicensed business operations.
Meanwhile, they were asked to establish a work mechanism that will enable related departments to strengthen their cooperation, interconnectivity and information sharing ability when performing their responsibilities, especially by using the internet platform.
The regulations also required that business owners engaging in business operations without first obtaining administrative approvals should receive penalties by government departments designated by laws, regulations or State Council decisions. And those who engage in business operations without obtaining business licenses will be punished by administrative departments for industry and commerce. 
In addition, entities or individuals engaging in unlicensed business operations found during the investigation should be put on the credibility black list, which will be released to the public.





RELATED STORIES



Premier Li stresses innovation, business environment 


China to further cut red tape for better business environment


Cutting licensing red tape to boost manufacturing









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",91,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
State Council supports Shanxi to promote economic transformation,https://english.www.gov.cn/policies/latestreleases/201709/11/content_WS5d16ab6bc6d03ce678792229.html,N/A,True,clean energy,"
State Council supports Shanxi to promote economic transformation 
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			State Council supports Shanxi to promote economic transformation 






Updated:
Sep 11,2017 7:23 PM
	    english.gov.cn












The State Council has issued a guideline on promoting Shanxi as an energy resources-based economy, to achieve economic transformation. 
 The plan set goals on establishing a mechanism to bolster the economic transformation of Shanxi by 2020, with more coal mining and rough coal processing being slashed, while gradually increasing advanced coal capacity to account for two-thirds of the overall industrial value-added output.  
By 2030, a clean, safe and efficient modern resources system should be established, featuring the support of many industries with their complementary economic advantages, and basically complete the transformation of the resource-based economy, according to the plan. 
To achieve these targets, local government should promote a revolution in resource supplies and resource consumption, with efforts to guide the reduction in overcapacity, optimize the industrial structure of energy resources, and boost the use of clean energy, such as natural gas, electricity and renewable energy.
The State Council also urged deepening the reform on the mechanism of energy resources, which encouraged enterprises in coal, electricity, and transportation and other industries to conduct corporate restructuring or cross-shareholding, in a bid to sharpen the competitive edge of the whole industry chain. 
Meanwhile, Shanxi government was encouraged to implement the “Made in China 2025” strategy, develop emerging industries and advanced products in information technology, new energy vehicles, aerospace and biological medicine, and other fields, and build a green manufacturing system, targeted at transforming traditional industry in a green and ecological way. 
The plan urged strengthening coordinated innovation in Shanxi province, supporting the construction of national demonstration bases in mass entrepreneurship and innovation, and promoting the innovative development of an economic development zone in the region. 
The government also was urged to mull over plans to rejuvenate State-owned enterprises, expand mixed ownership reform in more State-owned enterprises, and promote the healthy development of the private economy. 








RELATED STORIES



Production capacity reduction a priority 


Premier urges upgrading economy, improving people’s lives in Shanxi


Premier calls on Shanxi to innovate









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
China to expand reforms on innovation,https://english.www.gov.cn/policies/latestreleases/201709/14/content_WS5d16ab82c6d03ce67879226a.html,N/A,True,environment,"
China to expand reforms on innovation
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			China to expand reforms in innovation





Updated:
Sep 14,2017 5:05 PM
	    english.gov.cn










The State Council released a circular on Sept 14 to step up efforts to encourage innovation with preferential measures.According to the circular, the innovation move fueled with 13 measures in four aspects will be spread nationwide, including eight areas, like Beijing-Tianjin-Hebei region, Shanghai municipality, and the Pearl Delta region in Guangdong, where pilot reforms in innovation are being carried out.In technological-finance innovation, the measures include one-stop investment and financing information services for SMEs and the pledge for patent rights associated with loans, insurance and risk compensation from finance.To create a beneficial environment for innovation and entrepreneurship, a one-stop service will be extended for quick approvals, ownership confirmation and rights safeguard of patents. An innovation-driven assessment and stimulation in State-owned enterprises, and integrated central and local taxation will also be implemented. In addition, excellent international students and high-level foreign talent are welcomed to work in China, and their application for residence permits will be facilitated.In military-civilian integration innovation, measures such as sharing large military or civilian instrument and equipment for national defense and research are encouraged to be widely adopted.The implementation of each measure is undertaken by related authorities such as the State Intellectual Property Office, the People’s Bank of China, and the Ministry of Industry and Information Technology. The National Development and Reform Commission and the Ministry of Science and Technology are responsible for the supervision of implementation.




RELATED STORIES



Reform makes China’s economy stronger 









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
State Council approves urban plan for Tai’an city,https://english.www.gov.cn/policies/latestreleases/201708/18/content_WS5d16aaf5c6d03ce6787920b4.html,N/A,True,carbon,"
State Council approves urban plan for Tai’an city
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			State Council approves urban plan for Tai’an city






Updated:
Aug 18,2017 3:00 PM
	    english.gov.cn












The State Council has approved the urban plan (2011-20) for Tai’an, a tourist and historic city in East China’s Shandong province.
The plan urges coordinated urban and rural development in the designated area of 2,087 square kilometers, with infrastructure and public service made available to surrounding villages.
More efforts will be concentrated on counties with good basic conditions, and the layout of counties and villages will be improved.
The scale of the city should be controlled. The downtown population should be capped at 1.35 million by 2020 and construction land should limited to within 150 square kilometers.
Meanwhile, the plan also called for intensive use of land and underground urban space with measures implemented to protect arable land.
No new development zones or city districts should be set up beyond approved areas, the plan stated.
The local government is also required to improve low carbon and green infrastructure. Roads and railways should be further optimized to build a public traffic-based and diversified urban transportation system.
The plan also urged comprehensive planning on infrastructure of water supply, garbage disposal and disaster prevention.
To build a resource-saving and people-friendly city, the local government was asked to control pollutants, speed up overcapacity retirement and support green buildings.
While placing strict management on water resources and harmless waste treatment, more work should be done to build a sponge city and protect ecological areas, especially Mount Tai, wetlands and water sources.
The local government is also asked to make coordinated arrangements for service infrastructure closely related to public interests, such as education, healthcare and municipal administration, with a special focus on affordable housing projects.
In addition, efforts should be made to protect historic sites and cultural heritage to realize coordinated development of historic culture and modern civilization, the plan stated.









RELATED STORIES



State Council OKs Anshan’s city plan


Taizhou’s city plan approved


State Council OKs Dezhou’s city plan









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
China to promote foreign investment growth,https://english.www.gov.cn/policies/latestreleases/201708/17/content_WS5d16aaecc6d03ce678792097.html,N/A,True,environment,"
China to promote foreign investment growth 
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			China to promote foreign investment growth 






Updated:
Aug 17,2017 7:43 AM
	    Xinhua












The State Council, China’s cabinet, on Aug 16 made public a series of measures for ensuring the steady growth of foreign investment.
China should make its foreign investment environment “more law-based, internationalized and convenient” to promote growth and raise the quality of foreign investment, according to a document from the State Council.
“The country should continue to reduce market access restrictions for foreign capital,” the document said.
It will roll out nationwide a negative list for foreign investment that has been tested in pilot free-trade zones as soon as possible.
China will expand market access to allow foreign capital to enter sectors including new-energy vehicle manufacturing, ship design, aircraft maintenance and railway passenger transportation, the document said.
On July 28, China began to implement a revised foreign investment catalogue, which included a negative list as well as sectors and industries in which the government wants to encourage foreign companies to invest.
The government will also make fiscal and taxation support policies to encourage overseas investors to expand investment and make use of their role in optimizing the service trade structure, the document said.
China encourages multinationals to set up regional headquarters in the country and wants more investment into western areas and old northeastern industrial bases.
The investment environment in national-level development zones will be improved by giving the zones more authority in investment management and raising their ability to provide industrial services, the document said.
Foreigners will find it easier to get work permits as the government aims to facilitate the cross-border flow of professionals.
Before the end of this year, China will release detailed new rules for granting visas to foreign professionals including extending the validity period, the document said.
Efforts should also be stepped up to improve foreign capital-related laws, provide better services to overseas investors and ensure the free outward remittance of their profits.
China will improve the protection of intellectual property rights, raise the competitiveness of the research and development environment and maintain continuity of foreign investment policies, according to the document.
The State Council also assigned the tasks to various government departments, including the top economic planner, the central bank, the customs authority and several ministries.
The document came as foreign direct investment (FDI) inflow dropped slightly 1.2 percent year on year in the first seven months of this year, data from the Ministry of Commerce showed on Aug 15.
The drop is not as bad as it looks due to high comparison base.
A report from the United Nations Conference on Trade and Development (UNCTAD) said that China received $139 billion of FDI in 2016, third in the world behind the United States and Britain.
“With China’s large market and improving business environment, we are confident of maintaining a relatively high level of foreign investment inflow in the future,” said Commerce Minister Zhong Shan.
In the same period, high-tech manufacturing saw FDI rise 8.3 percent and foreign investment in high-tech services surged 16.8 percent. The number of new foreign companies rose 12 percent. 












SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",92,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
State Council approves Anshan’s city plan (2011-’20),https://english.www.gov.cn/policies/latestreleases/201708/07/content_WS5d1c1e02c6d03ce678798940.html,N/A,True,"environment, emission, emissions","
State Council approves Anshan’s city plan (2011-’20)
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			State Council approves Anshan’s city plan (2011-20)






Updated:
Aug 7,2017 6:00 PM
	    english.gov.cn












The State Council approved the overall urban planning (2011-20) for Anshan city in Northeast China’s Liaoning province.
Anshan is one of China’s important steel industry bases, and a major city in Liaoning’s central and southern regions.
An area of 792 square kilometers was designated for Anshan’s unified rural and urban development, the circular stated.
The circular urged efforts to improve villages in the city and city fringes, expand public facilities to serve neighboring villages, develop counties and key villages with potential, and optimize the overall layout of villages and towns.
The circular stated that by 2020, the downtown population should be constrained within 1.85 million, and urban construction land should be limited to 192.64 square kilometers.
No new development zone or city district should be set up beyond the approved area. Increases in construction land will be controlled, and protection of arable land will be strengthened.
Urban infrastructure facilities, including transportation systems, parking lots, underground tunnels and disaster prevention systems, will be improved in a greener way, the circular stated.
Weeding out outdated capacity in the steel and metallurgical industries was highlighted. To protect the environment, it urged strict control of pollution emissions, green building development, and effective use and protection of water resources.
Also, natural reserves, such as Qianshan Mountain, and ecological function zones, including wetlands and water sources, should be further protected.
The circular also stressed enhancing public service facilities involving education, healthcare, and municipal administration.
In addition, subsidized apartments should be included in construction plans. Shantytowns, villages within the city and dilapidated houses should be renovated and equipped with improved facilities.
The circular also urged efforts to protect the traditional city landscape and historical and cultural heritage sites.








RELATED STORIES



Old industrial clusters in Northeast China step out of shadow for revitalization


Renovate NE China through innovation









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
China builds better business environment with solid measures,https://english.www.gov.cn/policies/latestreleases/201708/16/content_WS5d16aae9c6d03ce67879208f.html,N/A,True,environment,"
China builds better business environment with solid measures
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			China builds better business environment with solid measures






Updated:
Aug 16,2017 5:13 PM
	    english.gov.cn












The State Council’s latest circular urged governments and departments to build a legal, international and convenient environment for foreign businesses, through continued efforts in supply-side reform, administrative streamlining and service optimization.
According to the circular, pre-establishment national treatment and negative list management will be rolled out nationwide at a quick pace.
Meanwhile, the schedules and roadmaps for opening new energy vehicles, ship designs, airplane maintenance and international marine transportation will be developed. It will also include designs for railway passenger transportation, gas stations, banking, securities and insurance.
The circular also encouraged foreign investors to expand their investment, setting up regional headquarters in China, through better fiscal and tax policies.
Preferential corporate income tax policies for advanced service enterprises in pilot cities will also be implemented across the nation, guiding foreign capital to high-tech and high value-added services.
In addition, China will support national development zones in the western and northeastern regions to build better business environments in order to accept high-end manufacturing.
National development zones elsewhere have further been encouraged to take the lead in administrative reform and service optimization, and the circular stated the nation will offer support in land use and expansion of eligible zones. 
In terms of human resources, the circular pledged more convenient procedures for work permits of foreign talent and visas of longer terms, from five to 10 years.
More work should also be done to optimize laws on foreign investment, with effective systems in place to deal with complaints by foreign enterprises, according to the circular.
The nation will also guarantee free remittance of legal incomes of foreign investors, protecting their intellectual property rights and encouraging them to join in the restructure of domestic enterprises.
While building a competitive environment for research centers of foreign enterprises, governments at all levels should keep the continuity and stability of policies, the circular stated. 













SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",92,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
