title,url,publish_date,has_keyword,matched_keywords,fulltext,page_number,greenhouse gas,ghg,net-zero,carbon neutral,carbon neutrality,carbon emissions,climate change,carbon trading,carbon pricing,low-carbon,clean energy,greenhouse,carbon,environment,emission,environmental,emissions,sustainability
"China issues guideline to improve market-based allocation of resources, environmental factors",https://english.www.gov.cn/policies/latestreleases/202505/29/content_WS683848d1c6d0868f4e8f2f5b.html,2025-05-29,True,"greenhouse gas, low-carbon, greenhouse, carbon, environment, emission, environmental, emissions","BEIJING, May 29 -- China has recently unveiled a guideline aimed at improving the system for market-based allocation of resources and environmental factors, amid the country's efforts to speed up the overall green transition of economic and social development.
The guideline is jointly issued by the General Office of the Communist Party of China Central Committee and the General Office of the State Council.
The guideline outlines measures to deepen reforms in the trading of resources and environmental factors, including improving quota allocation systems, expanding the scope of tradable elements, strengthening trading mechanisms, and enhancing foundational capacities.
By 2027, China aims to establish basically sound trading systems for carbon emission rights and water use rights, while further refining mechanisms for the trading of pollutant discharge rights, per the guideline.
By then, the market-based energy-saving mechanism will be further improved, and the trading of resource and environmental factors will become more active, supported by a better price formation mechanism, according to the guideline.
Despite resource scarcity and limited environmental capacity -- China's fundamental conditions -- the country has made significant strides in addressing these constraints through market-based mechanisms, according to an official of the National Development and Reform Commission.
China has established a national carbon market, a voluntary greenhouse gas emissions reduction market and a water right trade exchange, while also piloting various local trading schemes to promote the market-based allocation of resources and environmental factors.
The new guideline is expected to help direct the orderly flows of resources and environmental factors toward green and low-carbon development, and to support the cultivation of new quality productive forces, the official said.",1,1,0,0,0,0,0,0,0,0,1,0,1,3,7,2,7,1,0
China doubles down on urban upgrades to boost high-quality development,https://english.www.gov.cn/policies/latestreleases/202505/15/content_WS6825eef2c6d0868f4e8f2923.html,2025-05-15,True,environment,"BEIJING, May 15 -- China is intensifying efforts to advance its urban renewal initiative as it strives to build livable, resilient and smart cities, and to bolster high-quality development.
In its latest push, the country on Thursday unveiled a set of guidelines, pledging increased policy and financial support for urban renewal projects, which can range from gas pipe updates and lift installations to the renovation of old factories into commercial zones.
The guidelines, issued by the general offices of the Communist Party of China (CPC) Central Committee and the State Council, are designed to achieve key progress in the country's urban renewal campaign by 2030. They also aim to improve safety conditions, enhance service efficiency, elevate living environments, develop business models, and preserve cultural heritage.
Efforts should be focused on reinforcing and renovating existing buildings as well as old residential areas, while optimizing their infrastructure, including parking, charging, fire protection and communication.
The update and renovation of old commercial blocks, factory areas and urban villages will be advanced, according to the guidelines, which also urged establishing multi-level and all-coverage public service networks to meet people's living needs.
The guidelines also called for accelerating the construction and renovation of gas, water supply, drainage, sewage, heat supply along with other underground pipeline networks and underground utility tunnels, while strengthening the construction of public fire protection facilities, and improving transportation infrastructure.
They also established requirements on restoring the ecological system in cities, and preserving urban history and culture.
In the meantime, an urban renewal implementation mechanism should be established, while the land use policy should be optimized, the guidelines said, adding that a whole-life-cycle housing safety management system needs to be created.
The latest document came as Chinese authorities issued a slew of measures to upgrade urban areas.
The country initiated over 60,000 urban renewal projects in 2024, with a total investment of 2.9 trillion yuan (about 402.8 billion U.S. dollars).
In January this year, a meeting of the State Council said that urban renewal ""serves as an important lever for the expansion of domestic demand.""
The renovation of old residential communities, blocks, factory areas and urban villages in cities should be accelerated, and the renovation of urban infrastructure should be strengthened, the meeting noted.
In April, the Ministry of Finance pledged central budget support for the urban renewal initiative in up to 20 cities over the course of this year, noting that priority will be given to mega and super large cities, as well as large cities along key river basins such as the Yellow River and the Pearl River.
Municipalities, along with cities in the country's western regions, can each receive up to 1.2 billion yuan in subsidies for upgrade projects. Urban areas in China's central regions can obtain up to 1 billion yuan, while those in eastern regions can receive up to 800 million yuan.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
China rolls out new regulations on eco-environmental protection inspections,https://english.www.gov.cn/policies/latestreleases/202505/13/content_WS68227b40c6d0868f4e8f27a9.html,2025-05-13,True,"carbon neutral, carbon neutrality, carbon, environment, environmental","BEIJING, May 12 -- China has rolled out new regulations on inspection work regarding eco-environmental protection, replacing the previous version issued in 2019.
China aims to fully harness eco-environmental protection inspections as a key tool for identifying and addressing issues, according to the regulations issued by the Communist Party of China Central Committee and the State Council.
Greater efforts are needed to promote high-quality development through high-level environmental protection, deepen reforms in the ecological civilization system, and advance the modernization of the eco-environment governance system and its capabilities, according to the regulations.
The inspection work will focus on areas such as progress in pollution control, the green transition of development models, ecological protection and restoration, and initiatives promoting carbon peaking and carbon neutrality.
China has steadfastly advanced its ""Beautiful China"" initiative, emphasizing eco-environmental protection as a top priority in its social and economic development.",1,0,0,0,1,1,0,0,0,0,0,0,0,2,6,0,5,0,0
China unveils new regulations on express delivery sector,https://english.www.gov.cn/news/202504/18/content_WS68023fe2c6d0868f4e8f1dd2.html,2025-04-18,True,"environment, environmental","BEIJING, April 18 -- Chinese Premier Li Qiang has signed a decree of the State Council to unveil the revised edition of regulations on the express delivery sector.
The new regulations, which will go into effect on June 1, contain 15 articles.
China aims to build a technologically advanced, high-quality, safe, efficient, and energy-efficient express delivery service system benefiting both urban and rural areas.
The use of environmentally friendly packaging materials that are both degradable and reusable will be encouraged, according to the regulations.
They also clarify the responsibilities of government departments, enterprises and consumers in the research and development of green packaging, the reduction of secondary packaging, and the recycling and utilization of packaging materials.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
China issues new guideline to strengthen price governance mechanism,https://english.www.gov.cn/policies/latestreleases/202504/02/content_WS67ed027fc6d0868f4e8f164a.html,2025-04-02,True,environment,"BEIJING, April 2 -- China has unveiled a guideline to further deepen price reform and improve the price governance mechanism.
The guideline was issued by the General Office of the Communist Party of China Central Committee and the General Office of the State Council.
It aims to improve the market price formation mechanism to promote efficient resource allocation, the price guidance mechanism for key areas' development and security, the price regulation mechanism to maintain reasonable price levels, and the transparent and predictable market price supervision mechanism.
China will enhance the market price formation mechanism by deepening market-oriented price reform, accelerating the market construction of key areas and creating a competitive and orderly market environment.
Price guidance will target five critical areas: agricultural products to ensure food security, energy pricing to support green transition, public utilities for sustainable development, public services for equitable access, and innovative pricing approaches for safe and efficient public data utilization.
Control over the overall price level will be strengthened through better synergy between price policies and fiscal, monetary, industrial, and employment policies. Additionally, efforts will be made to strengthen the price stability of important commodities.
The guideline will further optimize the market price supervision mechanism, create a transparent and predictable regulatory environment for business entities, and protect the legitimate rights and interests of consumers.",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
State Council approves territorial spatial plan for Yellow River basin,https://english.www.gov.cn/policies/latestreleases/202504/08/content_WS67f51fcdc6d0868f4e8f1810.html,2025-04-08,True,climate change,"The State Council has approved the national territorial spatial plan for the Yellow River basin for the 2021-2035 period, according to an official reply released on April 8.
The plan outlines key targets to strengthen the spatial foundation for safe development, by 2035, including maintaining the total area of cultivated land in the Yellow River basin at least 259.2171 million mu, of which the protection area for permanent basic farmland should be at least 215.4488 million mu and the red line area for ecological protection should be no less than 396,000 square kilometers.
To support the new development paradigm, the plan emphasizes the integration of the Yellow River basin into the BRI cooperation and strengthens the coordinated development with major strategic regions such as the Beijing-Tianjin-Hebei region, the Yangtze River Economic Belt, the Guangdong-Hong Kong-Macao Greater Bay Area, and the Yangtze River Delta.
The reply also calls for optimizing the development and protection of territorial space, particularly in the lower reaches of the Yellow River, where enhanced regional linkages and integrated development among city clusters in the Shandong Peninsula, the Central Plains, the Beijing-Tianjin-Hebei region and the Yangtze River Delta, will take place. Additionally, the plan includes building a modern infrastructure network and improving disaster prevention, mitigation and relief infrastructure in response to climate change and extreme weather, so as to comprehensively increase the resilience of China's territorial space.",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
China to accelerate construction of international consumption centers,https://english.www.gov.cn/policies/latestreleases/202503/27/content_WS67e484e8c6d0868f4e8f1349.html,2025-03-27,True,environment,"BEIJING, March 26 -- China's State Council on Wednesday released a document formulated by the Ministry of Commerce to accelerate the transformation of certain cities into international consumption centers.
The document states that China will expedite the transformation of Shanghai, Beijing, Guangzhou, Tianjin and Chongqing into such centers. It also aims to create a globally attractive consumption environment, expand domestic demand and promote high-standard opening-up.
China will actively promote the debut economy. For example, it will work to attract global high-quality brands to open flagship stores, set up R&D design centers and establish regional headquarters, thus perfecting the debut economy's ecosystem.
The country will expand its unilateral visa-free travel policy in an orderly manner, improve its consumption environment, and better leverage the role of duty-free stores and the national tax-refund-upon-departure policy.
It also plans to organize various large-scale consumption promotion activities, support the hosting of more high-level international sports events and performance shows, and increase the supply of high-quality goods and services.
Additionally, it will deepen economic and trade cooperation and people-to-people exchange, according to the document.",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
China unveils guideline to improve social credit system,https://english.www.gov.cn/policies/latestreleases/202503/31/content_WS67ea9a7fc6d0868f4e8f1588.html,2025-03-31,True,environment,"BEIJING, March 31 -- China on Monday published a guideline to improve the social credit system amid efforts to promote its high-quality development.
The guideline, issued by the General Office of the Communist Party of China Central Committee and the General Office of the State Council, includes 23 measures and aims to build a unified national market while maintaining a fair and orderly competitive market environment.
Under the guideline, a social credit system covering all types of entities, featuring unified rules and regulations, and being jointly built and with shared benefits, should be established to promote deep integration of the social credit system into all aspects of social and economic development.
Credit has played a key role in optimizing the business environment, promoting financial services for the real economy, and enhancing government governance and service efficiency, according to the National Development and Reform Commission (NDRC).
However, challenges remain in the social credit system, such as inconsistent regulatory frameworks and insufficient sharing and openness of credit information. Therefore, further improvements to the social credit system are necessary to provide foundational support for high-quality economic and social development, it said.
Regarding information security, the NDRC said construction of the social credit system adheres to the fundamental principle of defending information security and individual rights, while guarding against excessive information collection and any illegal or irregular activities on disclosure, processing, sale or use of information.",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
China unveils guidelines on furthering trade policy compliance with WTO rules,https://english.www.gov.cn/policies/latestreleases/202503/22/content_WS67ddf231c6d0868f4e8f10ca.html,2025-03-22,True,environment,"BEIJING, March 21 -- The General Office of the State Council has issued guidelines aimed at further strengthening trade policy compliance with World Trade Organization (WTO) rules, amid the country's greater efforts to push forward opening-up.
Compliance assessment should be a necessary prerequisite of the introduction of new trade policies, the guidelines emphasize, requiring governments at all levels to assess proposed trade policies in accordance with WTO agreements and China's commitments.
Strengthening trade policy compliance efforts is conducive to fostering a world top-tier business environment and promoting the establishment of a unified national market, said an official of the Ministry of Commerce, commenting on the guidelines.
Ensuring a non-discriminatory and transparent policy framework will promote the smooth flow of production factors and efficient allocation of resources, and unlock greater market potential, the official said.",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wuhan’s territorial spatial plan approved,https://english.www.gov.cn/policies/latestreleases/202502/13/content_WS67adf556c6d0868f4e8ef9de.html,2025-02-13,True,"low-carbon, carbon","The State Council has approved a national territorial spatial plan for Wuhan, the capital city of Central China's Hubei province, for the 2021-2035 period, according to an official reply issued on Feb 13.
As an international comprehensive transportation hub, Wuhan is a major city in China's central region and a national historical and cultural city.
As per the reply, by 2035, the total area of cultivated land in Wuhan should be no less than 3.4179 million mu, of which the protection area for permanent basic farmland should be at least 3.1094 million mu, and the red line area for ecological protection should not be less than 794.54 square kilometers.
The reply urged Wuhan to actively integrate into the joint construction of the Belt and Road, deeply participate in the high-quality development of the Yangtze River Economic Belt, support the ecological protection of the Yangtze River, accelerate the development of the central region and promote the coordinated development of the city clusters along the middle reaches of the Yangtze River.
Efforts should be made to accelerate the construction of an urban system with regional coordination and urban-rural integration. Measures will also be taken to improve the quality and stability of the water network ecological system including rivers and lakes and strengthen ecological protection and restoration of the northern mountainous areas.
Moreover, priority should be given to guarantee the space demand for in-depth integrated development of scientific and technological innovation and industrial innovation.
To build a comprehensive urban transport network that is safe, convenient, low-carbon and green, Wuhan is asked to systematically improve its functions as an aviation and railway hub, promote the construction of the shipping center for the middle Yangtze River in Wuhan, fully leverage the role of inland water transportation and support to build Yangtze River’s function as a golden waterway.
In addition, the protection mechanism for cultural and natural heritages should be improved, according to the reply.",3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
