title,url,publish_date,has_keyword,matched_keywords,fulltext,page_number,greenhouse gas,ghg,net-zero,carbon neutral,carbon neutrality,carbon emissions,climate change,carbon trading,carbon pricing,low-carbon,clean energy,greenhouse,carbon,environment,emission,environmental,emissions,sustainability
China sets out 5-year path for tourism,https://english.www.gov.cn/policies/latestreleases/202201/20/content_WS61e9256dc6d09c94e48a3fd2.html,2022-01-20,True,environment,"The State Council, in a circular on Jan 20, announced a development plan for the tourism sector during the 14th Five-Year Plan period (2021-2025).
By 2025, China will have a stronger modern system for the tourism sector integrating cultural development and boasting an improved barrier-free environment and services. By 2035, the country aims to become a world tourism powerhouse, with a wider variety of tourist hot spots, including national cultural parks, world-class tourist attractions and resorts, and State-level cities and blocks serving tourism and leisure.
Modern tourism requires supply-side structural reform, high-quality tourism products, and integration with other industries, the circular said.
It involves promoting smart tourism with digital, networked and intelligent scenarios and expanding the application of new technologies in tourism.
To incorporate tourism into major regional strategies and coordinated development, the circular urged efforts to harness the four national cultural parks covering the Great Wall, the Beijing-Hangzhou Grand Canal, the route of the Long March and the Yellow River, and the Silk Road tourism belt, among others, to blaze new travel trails across China.
Other efforts include building world-class tourism cities such as Guilin to drive regional tourism and encouraging more cities to list tourism and leisure as basic urban functions.
Tourism development, the circular said, should pursue harmonious co-existence with nature in steadily building national cultural parks and national parks, protecting historical resources, based on general surveys of Chinese cultural resources, and natural resources.
National cultural parks, it added, should seek to highlight the unique creations, values and distinctive characteristics of the Chinese culture.
To advance mass tourism and consumption, preferential policies, services, and public infrastructure should keep up with emerging development patterns such as contactless tourism and consumption.
A modern tourism governance system should be in place for handling tourist complaints to safeguard their legitimate rights and interests, emergency responses, as well as prevention and control of major risks from disasters and accidents.
The plan maps out promoting inbound and outbound travel in an orderly, steady manner, on the premise that the global COVID-19 pandemic is brought under control. With epidemic prevention and control prioritized, entries to China should be subject to real-name reservation of tickets, and inbound travel by cruise ship and self-driving tours should be facilitated with easier customs clearance.
Cooperation with Hong Kong, Macao and Taiwan, and international collaboration in the tourism industry are also stressed.",31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
China to promote modernization in market regulation,https://english.www.gov.cn/policies/latestreleases/202201/27/content_WS61f267b1c6d09c94e48a45c3.html,2022-01-27,True,environment,"The State Council issued a plan to promote the modernization of market regulation during the 14th Five-Year Plan period (2021-2025), according to a circular released on Jan 27.
According to the circular, major goals include continuously optimizing the business environment, regulating market operations, guaranteeing consumer security, enhancing product and service quality, and comprehensively improving market management efficiency.
Business environment will be improved, and the reform to separate operating permits and business licenses will be furthered in order to stimulate the vitality of market entities, the circular said.
By the end of 2022, simple, efficient, fair and transparent rules for licensing industries with easy access and strict regulation will be established. By 2025, the average time to open a business will be further reduced from less than four working days to about two working days.
Tax, credit loans and social security policies will be efficiently leveraged, and targeted measures will be adopted to support micro- and small enterprises and the self-employed.
To encourage innovation, a transregional and whole-chain cooperation mechanism for IPR administrative protection will be established, and law enforcement will be intensified.
China will continue to build a market environment of fair competition by improving administration capacities in repression against monopoly and unfair competition.
The plan also highlighted the importance of a unified domestic market, which calls for removing institutional barriers to market-based allocation and free flow of factors of production, and promoting unimpeded economic circulation.
Enterprises and industries will be required to enhance their overall product and service quality management. The macro policy system on quality control will also be further improved.
China will strengthen oversight of key industries and areas that affect people’s health, life and property, as well as public security, especially food and drugs, said the circular.
For higher efficiency in modern market regulation, the circular also urged harnessing cutting-edge technologies.",31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
5-year plan spotlights green development,https://english.www.gov.cn/policies/latestreleases/202201/24/content_WS61ee88b6c6d09c94e48a4301.html,2022-01-24,True,"carbon emissions, low-carbon, carbon, emission, emissions","China will accelerate efforts to build and improve an economic structure conducive to green, low-carbon and circular development in its ongoing anti-pollution fight to achieve its carbon peak and neutrality goals, according to a document issued by the State Council on Jan 24.
The document unveiled a general plan for energy conservation and emissions reduction during the 14th Five-Year Plan period (2021-2025).
According to the plan, by 2025 the country aims to reduce energy consumption per unit of gross domestic product by 13.5 percent from 2020 while keeping total energy consumption at reasonable levels, leading the world in energy efficiency and controlling emissions from major pollutants in key industries.
To that end, projects of energy conservation and emissions reduction as well as comprehensively treating pollutants should cover key industries, such as steel and iron, nonferrous metals, building materials and petrochemicals. Industrial enterprises are encouraged to consolidate at industrial parks, where the energy system and overall pollution control can be improved.
Urban and rural areas can also contribute, with the former building low-carbon cities, resilient cities, sponge cities and ""solid waste-free"" cities, and with renewable energy, such as wind, solar and biomass energy, applied in agricultural production and rural life for clean heating and other purposes.
In transport and logistics sectors, saving energy and reducing emissions mean promoting the construction of green railways, highways, ports, sea routes and airports, as well as infrastructure for electric vehicle battery charging and swapping, gas and hydrogen filling, and shore power at ports and airports.
The plan outlines improvements in related policies and mechanisms to help curb total energy consumption and energy intensity, as well as total pollutant emissions. Projects with high energy consumption and emissions should be resolutely deterred, the plan said.
Strengthening market-based mechanisms has been urged to advance pilot programs for trading energy use rights while aligning them with carbon emissions trading. Energy accounting and online energy consumption monitoring systems targeting major energy consumers were also encouraged to be enhanced.",31,0,0,0,0,0,1,0,0,0,2,0,0,4,0,7,0,7,0
Guizhou to scale new heights in western development,https://english.www.gov.cn/policies/latestreleases/202201/26/content_WS61f10fe4c6d09c94e48a44fc.html,2022-01-26,True,environment,"The State Council issued a circular on Jan 26, aimed at supporting Southwest China’s Guizhou province to blaze a new trail during the development of the western regions.
Guizhou, according to the circular, is marked as a demonstration zone for comprehensive reform of the western regions’ development, sample plot for consolidating poverty alleviation achievements, exemplar for inland open economy, innovation zone for digital economic development, and pilot zone for ecological progress.
The circular outlines key tasks in seven areas, calling for efforts to accelerate market-based allocation of factors of production, deepen reform of State-owned enterprises and State-owned assets, and thoroughly optimize the business environment.
Comprehensive advancement of rural vitalization and new urbanization call for constant development of regions that have been lifted out of poverty, solid implementation of rural construction, further efforts to boost modern and effective mountain farming, and comprehensive human-oriented urbanization, it said.
To upgrade the construction of pilot zones for inland open economy, Guizhou is encouraged to facilitate free and convenient trade and investment, open internal and external channels, and push forward the construction of open platforms.
In addition, the circular also stressed construction of a modern industrial system driven by the digital economy, requiring efforts to enhance innovation in science and technology, launch digital industrial chain campaigns, push the upgrading of traditional industries, and promote the prosperity of cultural and tourism industries.",31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"China to step up construction of urban, rural environmental infrastructure",https://english.www.gov.cn/policies/latestreleases/202202/09/content_WS62036ff1c6d09c94e48a4df0.html,2022-02-09,True,"environment, environmental","The State Council approved a guideline to accelerate construction of urban and rural environmental infrastructure, according to an official reply released on Feb 9.
Jointly purposed by the National Development and Reform Commission, Ministry of Ecology and Environment, Ministry of Housing and Urban-Rural Development and National Health Commission, the guideline set two major goals for promoting the construction of urban and rural environmental infrastructure.
By 2025, supply capacity and level for urban and rural environmental infrastructure should be elevated to form an integrative environmental infrastructure system featuring disposal and monitoring facilities for sewage, garbage, solid waste, hazardous waste, and medical waste.
By 2030, a modernized environmental infrastructure system that is systematic, effective, practical, smart, green, and safe should be basically established.
According to the circular, efforts should be intensified to shore up weak links, which calls for improving infrastructure for sewage collection and treatment and resource utilization, strengthening capacity for household garbage sorting and treatment, ramping up facility construction for solid waste treatment, and strengthening capacity to dispose of hazardous and medical waste.
Measures should be made to build an integrated urban and rural environmental infrastructure, promote intelligent and green efforts, and optimize its market-based operation.
The circular also stressed the roles of science and technology in underpinning construction of urban and rural environmental infrastructure, adding that the government should launch more fiscal, tax and financial policies.",31,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0
China to further develop metrology,https://english.www.gov.cn/policies/latestreleases/202201/28/content_WS61f3b3e3c6d09c94e48a46ae.html,2022-01-28,True,carbon,"The General Office of the State Council on Jan 28 released a plan for metrological development from 2021 to 2035.
Metrology, the study of measurement, is fundamental for technological innovation, industrial development, national defense construction, and is also important for building an integrated national strategic system and ability.
The plan was drawn to consolidate the metrological foundation, improve metrological ability, boost overall metrological development, and promote high-quality economic and social development.
According to the plan, the country is expected to establish a modern and advanced measurement system at the national level by 2025, and greatly improve the level of scientific and technological innovation by 2035, along with major breakthroughs in metrological technology in key areas, and comprehensive strength ranking among the top in the world.
The plan outlined key tasks in four aspects, including basic metrological research, metrological application, building metrological ability, and metrological supervision and management.
Metrology should be applied in several key areas, such as advanced manufacturing, high-end instrument development and precision manufacturing, aerospace and marine fields, artificial and intelligent manufacturing, digital China construction, and serve the country's goals of carbon peaking and neutrality, according to the circular.
The plan also pledged to add leadership and policy support, strengthen construction of related disciplines and culture, and reinforce coordination and work implementation.",31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
China to establish more cross-border e-commerce pilot zones,https://english.www.gov.cn/policies/latestreleases/202202/08/content_WS62023900c6d09c94e48a4d42.html,2022-02-08,True,environment,"The State Council approved a plan to set up cross-border e-commerce comprehensive pilot zones in 27 cities and regions, according to an official reply released on Feb 8.
The 27 cities and regions include Erdos, Yangzhou, Zhenjiang and Taizhou.
Upholding the new development philosophy and pursuing the building of a new development pattern, the reply emphasized giving full play to the role of cross-border e-commerce in upgrading traditional industries and promoting industrial digitalization.
It also stressed the security of the nation, internet, data, trading, biology and quality of import and export commodities.
More work should be done to prevent transaction risks, protect the rights and interests of private information and create a sound business environment for market players on a level playing field, it said.
Local governments were urged to respect the decisive role of the market in resource allocation, with effective channeling of social resources and reasonable allocation of public resources.
Informationized management mechanisms for cross-border e-commerce also should be established and improved, the plan said.
Departments of the State Council should also explore and innovate technical standards, business procedures, regulation models and informationization construction in cross-border e-commerce business-to-business modes, and further optimize the statistical system of cross-border e-commerce.
The government will exempt value-added and consumption taxes for cross-border e-commerce retail exports in the pilot zones, and support enterprises to set up and share overseas warehouses, according to the plan.",31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Fuzhou to be national historical, cultural city",https://english.www.gov.cn/policies/latestreleases/202201/19/content_WS61e7b49bc6d09c94e48a3e69.html,2022-01-19,True,environment,"The Chinese government has approved designating Fuzhou city in East China's Jiangxi province as a national historical and cultural city, according to an official reply released by the State Council on Jan 19.
With a long history and distinctive culture, the city’s rich traditional layout, construction styles, cultural deposits and historical remains are of great value, the reply said.
The State Council urged the provincial and city government to make plans and roll out policies on cultural heritage protection, preserve and restore historical and cultural street blocks, further develop urban infrastructure and public services, and make better use of historical buildings.
The reply also specified that it is not allowed to alter any natural landscapes or environment correlating with the historical and cultural elements of the city. Construction incompatible with local environment and styles should not be built. Damaging, moving without authorization and demolishing historical structures are also not allowed.",32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
China pursues greater integration in transportation mix,https://english.www.gov.cn/policies/latestreleases/202201/07/content_WS61d83f29c6d09c94e48a3500.html,2022-01-07,True,"carbon emissions, carbon, environment, emission, emissions","China will promote the development of multi-mode transportation and improve and adjust transportation mix, according to a circular issued by the General Office of the State Council on Jan 7.
The move, outlined in a work plan for 2021 to 2025, will help increase higher efficiency, lower logistics costs, conserve energy and reduce carbon emissions, the circular said.
With marked improvements by 2025, multi-mode transportation should feature a pattern where railway and waterway dominate middle- and long-distance transportation of bulk commodities and containers. Specifically, nationwide freight via railway and waterway should by then increase by about 10 percent and 12 percent, respectively, from the base of 2020, with the annual growth rate exceeding 15 percent for container transportation combining the two modes.
To boost the capacity and connectivity in integrated transportation, key transport corridors and freight hubs should catch up, along with upgraded technologies and equipment, the circular said.
Its innovative development requires offering a wider variety of specialized services and products, such as cold-chain logistics and green delivery, as well as aligning service rules across different modes, with a focus on rail-sea transport, and creating a sound system for goods transfer, safety management and payment rules.
The plan urges efforts to foster a unified and open market environment, deepen reforms in railway and other key sectors, and regulate fee charging in important transportation links.",32,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
Cross-cyclical adjustment to stabilize foreign trade,https://english.www.gov.cn/policies/latestreleases/202201/11/content_WS61dd70aac6d09c94e48a375e.html,2022-01-11,True,environment,"China will carry out cross-cyclical adjustment measures to stabilize foreign trade and support foreign trade firms, especially smaller ones, according to a circular issued by the General Office of the State Council on Jan 11.
To tap into the potential of imports and exports, the circular stressed efforts to promote high-quality development of overseas warehouses, ensure adequate supplies of bulk commodities to the domestic market, and import a wider variety of consumer products via cross-border e-commerce retail to satisfy diverse needs.
Meanwhile, industrial and supply chains in foreign trade should be guaranteed. The circular encouraged long-term agreements between foreign trade companies and shipping service providers to ease global logistics pressure, and more integrated pilot zones for cross-border e-commerce will also be built.
The cooperation between eastern regions and central, western and northeastern areas will be deepened to develop industrial parks for processing trade.
The circular urged capitalizing on the Regional Comprehensive Economic Partnership (RCEP) agreement, which took effect on Jan 1, to bring greater stability to foreign trade.
To that end, the nation will continue to improve the business environment, further facilitate cross-border trade, lower compliance costs in both imports and exports, and reduce the average time spent on export rebates to within six working days in 2022.
Export credit insurance should play its role in safeguarding orders for foreign trade firms, the circular said, emphasizing the need to keep the RMB exchange rate basically stable at a reasonable and balanced level to make enterprises more resistant to foreign-exchange risks and expand the cross-border use of RMB.
Financial institutions, it said, should increase credit support to foreign trade firms, especially micro, small and medium-sized ones, with innovative products and services in a compliant, risk-control and market-based manner.
Support policies for labor-intensive exporters should be in place to lessen their burdens, retain the workforce and expand employment, the circular added.",32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
